日期,三月期收益率,六月期收益率,一年期收益率,二年期收益率,三年期收益率,五年期收益率,七年期收益率,十年期收益率,二十年期收益率,三十年期收益率
2015/5/11,0.024198,0.026513,0.026562,0.028605,0.030523,0.03217,0.0341,0.033752,0.039864,0.041449
2015/5/12,0.023427,0.026036,0.025691,0.027899,0.029941,0.031677,0.0341,0.034002,0.040115,0.041601
2015/5/13,0.021927,0.024769,0.024501,0.027139,0.029361,0.030637,0.033914,0.034002,0.040115,0.041601
2015/5/14,0.020701,0.02385,0.023557,0.026248,0.028524,0.029869,0.033672,0.033803,0.03992,0.041406
2015/5/15,0.020574,0.023229,0.02344,0.025626,0.027681,0.030508,0.033559,0.033906,0.03992,0.041354
2015/5/18,0.020129,0.023148,0.02374,0.025985,0.028204,0.03082,0.033586,0.034109,0.039826,0.041366
2015/5/19,0.020447,0.023148,0.024574,0.026794,0.028995,0.031006,0.033746,0.034311,0.039876,0.041342
2015/5/20,0.020598,0.022448,0.024391,0.026438,0.028494,0.031197,0.033918,0.034282,0.039847,0.041372
2015/5/21,0.020998,0.023411,0.024373,0.026416,0.028446,0.031151,0.033874,0.034257,0.039651,0.041251
2015/5/22,0.020622,0.023161,0.023822,0.026078,0.028293,0.031538,0.033723,0.03416,0.039651,0.040751
2015/5/25,0.021122,0.022017,0.022462,0.025413,0.028389,0.031707,0.033874,0.03431,0.039451,0.040251
2015/5/26,0.019901,0.020757,0.020338,0.024745,0.02895,0.031997,0.034597,0.035214,0.039415,0.040023
2015/5/27,0.019167,0.019877,0.018707,0.02397,0.028766,0.031597,0.03485,0.035055,0.03927,0.04039
2015/5/28,0.019913,0.020463,0.019369,0.024314,0.029029,0.033171,0.035874,0.035652,0.03938,0.04006
2015/5/29,0.020038,0.021527,0.019387,0.024457,0.029196,0.032924,0.035831,0.035954,0.039518,0.04019
2015/6/1,0.020238,0.020627,0.019947,0.024763,0.02924,0.033434,0.036243,0.036404,0.039753,0.040321
2015/6/2,0.020036,0.020478,0.019651,0.024482,0.028956,0.032809,0.03566,0.03588,0.039753,0.040321
2015/6/3,0.019531,0.019525,0.019356,0.024302,0.028868,0.032647,0.03562,0.036111,0.039572,0.040221
2015/6/4,0.019131,0.019151,0.018813,0.024008,0.028782,0.032512,0.035419,0.035911,0.039373,0.040021
2015/6/5,0.019409,0.019012,0.018763,0.023931,0.028672,0.032418,0.035273,0.035814,0.039273,0.039922
2015/6/8,0.018605,0.018833,0.018576,0.023824,0.028603,0.032459,0.035116,0.035613,0.039422,0.04006
2015/6/9,0.019005,0.018609,0.017786,0.023442,0.028572,0.032453,0.035014,0.035565,0.039184,0.040145
2015/6/10,0.018131,0.018274,0.017097,0.02325,0.0288,0.032527,0.035181,0.035912,0.039534,0.040495
2015/6/11,0.017831,0.018074,0.017103,0.023379,0.029023,0.032733,0.035462,0.036197,0.039818,0.040779
2015/6/12,0.017431,0.017963,0.01687,0.023278,0.029018,0.032518,0.035404,0.036226,0.039817,0.040778
2015/6/15,0.017742,0.017563,0.016482,0.023263,0.029282,0.032833,0.035769,0.036681,0.040273,0.041234
2015/6/16,0.017667,0.017908,0.016407,0.023326,0.029342,0.032756,0.035394,0.036099,0.039691,0.040652
2015/6/17,0.017996,0.018508,0.01689,0.023643,0.029468,0.032737,0.035296,0.036052,0.039561,0.040526
2015/6/18,0.018022,0.018611,0.017044,0.023682,0.028998,0.032043,0.034926,0.03573,0.039236,0.040201
2015/6/19,0.018492,0.018228,0.017494,0.023287,0.028662,0.031853,0.035115,0.035825,0.039331,0.040296
2015/6/23,0.018354,0.018485,0.017159,0.023244,0.02857,0.031923,0.03528,0.036054,0.03956,0.040525
2015/6/24,0.018275,0.018121,0.017165,0.02329,0.028687,0.032127,0.035318,0.036079,0.039585,0.04055
2015/6/25,0.018151,0.018556,0.017127,0.023252,0.028699,0.032129,0.035317,0.036027,0.039523,0.040488
2015/6/26,0.018151,0.018484,0.017628,0.023226,0.028662,0.032134,0.035322,0.03608,0.039575,0.04054
2015/6/29,0.017912,0.018657,0.017528,0.02327,0.028859,0.032278,0.035307,0.03603,0.039526,0.040491
2015/6/30,0.019197,0.018659,0.017378,0.02343,0.028973,0.032084,0.035338,0.035976,0.039476,0.040477
2015/7/1,0.019684,0.018573,0.017378,0.023517,0.028917,0.031678,0.035463,0.036127,0.039626,0.040628
2015/7/2,0.019883,0.018773,0.017745,0.023481,0.028785,0.031822,0.035639,0.036223,0.039726,0.040636
2015/7/3,0.019641,0.018874,0.01774,0.023613,0.028843,0.031587,0.035252,0.035719,0.039222,0.040752
2015/7/6,0.019327,0.018489,0.017455,0.023164,0.028328,0.031125,0.034527,0.034917,0.038422,0.039952
2015/7/7,0.019161,0.019283,0.019155,0.023714,0.028252,0.031321,0.034151,0.034361,0.037866,0.039396
