,日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2333,2015-06-09,5317.461,6144.36,40288054684063.31,30258937115584.0,12133699911053.086,18.8916,0.6684,26.0389,15.0266,10.3894
2332,2015-06-10,5309.112,6135.84,39992585908466.4,30061229778551.0,12124011409356.2,18.7531,0.666,26.0389,15.0282,10.3894
2331,2015-06-11,5306.59,6133.88,39843032837712.49,29978169314222.0,12118578024661.846,18.6829,0.6652,26.0389,15.0288,10.3894
2330,2015-06-12,5335.115,6167.41,40061491685663.8,30137370817281.0,12193075368936.73,18.7854,0.6665,26.0389,15.0293,10.3894
2329,2015-06-15,5221.167,6036.45,40424787530130.2,30071311846497.0,12232338836676.44,18.7604,0.666,26.0389,15.0386,10.3894
2328,2015-06-16,5064.821,5857.22,39215191460799.29,29124083942396.0,11871981499674.24,18.1991,0.6606,26.0389,15.042,10.3894
2327,2015-06-17,5138.831,5943.06,39837761543045.61,29593786152050.0,12041978044310.13,18.488,0.6631,26.0389,15.0452,10.3894
2326,2015-06-18,4930.549,5702.82,38271491376894.2,28412716512210.0,11554853852743.188,17.7611,0.6536,26.0389,15.0471,10.3894
2325,2015-06-19,4637.052,5366.76,36055514420012.914,26736313177089.0,10868342918191.3,16.7327,0.6303,26.0389,15.0478,10.3894
2324,2015-06-23,4786.091,5543.55,37280746912860.79,27635590596899.0,11215679916056.146,17.3013,0.6449,26.0389,15.0558,10.3894
2323,2015-06-24,4880.126,5652.77,38140221201572.7,28260417030590.0,11438722820345.98,17.7002,0.6523,26.0389,15.0599,10.3894
2322,2015-06-25,4706.516,5452.22,36865465875246.31,27302557013872.0,11032452945289.297,17.1086,0.6387,26.0389,15.061,10.3894
2321,2015-06-26,4336.195,5024.71,34254489183994.89,25305344787217.0,10169287091570.006,15.8883,0.5821,26.0389,15.0648,10.3894
2320,2015-06-29,4191.549,4857.12,33599334549181.8,24779100459325.0,9828918782640.37,15.5844,0.5473,26.0389,15.0712,10.3894
2319,2015-06-30,4472.998,5184.41,35693819745030.41,26293152176325.0,10501559118927.094,16.5559,0.623,26.0389,15.0796,10.3894
2318,2015-07-01,4253.021,4930.67,33891838550740.293,25031708058071.0,9988249734432.082,15.7201,0.5642,26.0389,15.0799,10.3894
2317,2015-07-02,4107.996,4762.62,33327775747585.52,24551072241288.0,9647716715128.184,15.4584,0.53,26.0389,15.0881,10.3894
2316,2015-07-03,3885.917,4515.41,31612643351197.41,23310232937161.0,9133848491999.371,14.6629,0.4751,26.0389,15.084,10.3894
2315,2015-07-06,3998.537,4647.27,33064628935698.8,24355486005907.0,9396013750352.545,15.3364,0.5152,26.0389,15.0896,10.3894
2314,2015-07-07,3928.003,4569.62,33335546684213.5,24399340862119.0,9222767542560.283,15.462,0.5305,26.0389,15.0921,10.3894
2313,2015-07-08,3663.038,4262.95,31319767460413.81,22959147111875.0,8605354828658.71,14.5271,0.4667,26.0389,15.0921,10.3894
2312,2015-07-09,3897.626,4536.57,33094733254566.2,24308801429765.0,9151872285831.494,15.3503,0.5165,26.0389,15.0944,10.3894
2311,2015-07-10,4106.556,4782.21,34431671101455.6,25318948994133.0,9636242397785.658,15.9704,0.5891,26.0389,15.0989,10.3894
2310,2015-07-13,4211.812,4905.52,34632950135463.32,25523689571596.0,9881304102920.264,16.0638,0.5947,26.0389,15.1073,10.3894
2309,2015-07-14,4112.149,4789.54,33798298867288.598,24906856233162.0,9656934341717.97,15.6767,0.5576,26.0389,15.1183,10.3894
2308,2015-07-15,3966.759,4620.79,33204912471433.99,24488315211774.0,9319093012763.984,15.4014,0.521,26.0389,15.1311,10.3894
2307,2015-07-16,3997.356,4657.04,33289617247514.902,24551416127612.0,9389745757595.297,15.4409,0.5259,26.0389,15.1337,10.3894
2306,2015-07-17,4151.496,4839.82,34161535283478.406,25218490488087.0,9753021438068.81,15.8454,0.5763,26.0389,15.1418,10.3894
2305,2015-07-20,4160.612,4850.45,34297657567489.3,25340048283408.0,9769935251221.549,15.9085,0.5823,26.0389,15.1626,10.3894
2304,2015-07-21,4166.006,4859.13,34254935666388.797,25322105077109.0,9779122298459.797,15.888,0.5798,26.0389,15.189,10.3894
2303,2015-07-22,4157.16,4851.05,34135864401125.598,25245107908373.0,9763616448104.275,15.8322,0.5733,26.0389,15.1892,10.3894
2302,2015-07-23,4250.805,4961.0,34763450427463.1,25704135971213.0,9981994394831.428,16.1232,0.5992,26.0389,15.1972,10.3894
2301,2015-07-24,4176.279,4874.25,34251548565130.61,25329643576612.0,9805208388522.062,15.8863,0.5788,26.0389,15.1982,10.3894
2300,2015-07-27,3818.731,4458.19,31335716940160.508,23159488433136.0,8970588298993.604,14.5336,0.4626,26.0389,15.1992,10.3894
2299,2015-07-28,3811.093,4449.4,31172457636494.9,22972457642864.0,8957416743859.518,14.4578,0.4572,26.0389,15.1992,10.3894
2298,2015-07-29,3930.379,4588.66,31935837980070.902,23571474861423.0,9234632111622.16,14.8091,0.477,26.0389,15.1992,10.3894
2297,2015-07-30,3815.412,4454.52,31118733987548.508,22991451965091.0,8966109045011.602,14.4289,0.4556,26.0389,15.1992,10.3894
2296,2015-07-31,3816.699,4456.1,31009292988942.7,22879626132954.0,8967839571352.113,14.3779,0.4533,26.0389,15.1982,10.3894
2295,2015-08-03,3829.235,4470.73,31099087646693.2,22888266936716.0,8997999084750.357,14.4212,0.4543,26.0389,15.1992,10.3894
2294,2015-08-04,3948.155,4609.58,31895095888351.6,23513921378417.0,9275952022208.531,14.7903,0.4757,26.0389,15.1992,10.3894
2293,2015-08-05,3866.9,4514.71,31237033815814.1,23056065260738.0,9079429796706.95,14.4851,0.458,26.0389,15.1992,10.3894
2292,2015-08-06,3831.852,4473.86,30941462092081.1,22833590516675.0,8997564312503.562,14.3266,0.4473,26.0389,15.1992,10.3894
2291,2015-08-07,3906.945,4561.97,31479718499902.9,23244674656162.0,9173740334657.248,14.5759,0.4628,26.0389,15.1982,10.3894
2290,2015-08-10,4084.365,4769.21,32838705796595.8,24282093333544.0,9589532265295.342,15.2021,0.5004,26.0389,15.2002,10.3894
2289,2015-08-11,4066.669,4748.54,32677823449779.6,24188944813611.0,9553330155870.178,15.126,0.4963,26.0389,15.2002,10.3894
2288,2015-08-12,4016.126,4689.67,32290070952445.395,23914236891193.0,9433790853136.672,14.9451,0.4815,26.0389,15.2002,10.3894
2287,2015-08-13,4075.463,4758.96,32680330655114.8,24201687249067.0,9572197655886.045,15.118,0.4955,26.0389,15.2002,10.3894
2286,2015-08-14,4073.54,4757.71,32622757919835.1,24157665079181.0,9579664320392.51,15.0789,0.492,26.0389,15.1997,10.3894
2285,2015-08-17,4077.872,4762.77,32547045059940.703,24114358929627.0,9611306572010.203,15.0154,0.4848,26.0389,15.2002,10.3894
2284,2015-08-18,3825.412,4468.06,30852371621748.61,22870322300595.0,9027355043098.186,14.2016,0.4432,26.0389,15.2002,10.3894
2283,2015-08-19,3886.136,4538.98,31067109238952.703,23054088880225.0,9172408598178.771,14.2962,0.4465,26.0389,15.2002,10.3894
2282,2015-08-20,3761.454,4393.66,30138145149067.9,22345347524569.0,8943096217216.42,13.8538,0.4198,26.0389,15.2002,10.3894
2281,2015-08-21,3589.536,4193.27,28957718566110.6,21465290203222.0,8535127024960.269,13.2803,0.3694,26.0389,15.1997,10.3894
2280,2015-08-24,3275.534,3826.46,26470175521809.5,19678663849098.0,7796179647253.928,12.1179,0.3309,26.0389,15.2002,10.3894
2279,2015-08-25,3042.927,3554.77,24511678846417.31,18220331450225.0,7248079112642.882,11.1423,0.2687,26.0389,15.2002,10.3894
2278,2015-08-26,3025.692,3534.64,24533503037066.707,18193519116510.0,7207058201461.134,11.1305,0.2667,26.0389,15.2002,10.3894
2277,2015-08-27,3205.638,3744.85,25945008002530.61,19217929436406.0,7644573752547.107,11.6934,0.3206,26.0389,15.2002,10.3894
2276,2015-08-28,3342.286,3904.49,26938684845344.9,19989043003896.0,8015577417527.326,12.187,0.3336,26.0389,15.1997,10.3894
2275,2015-08-31,3366.536,3932.81,27090141652224.105,20126966303051.0,8183867211782.65,12.1179,0.3321,26.0389,15.2002,10.3894
2274,2015-09-01,3362.083,3927.61,27487996122261.605,20328053795612.0,8175922943383.234,12.2959,0.3358,26.0389,15.2002,10.3894
2273,2015-09-02,3365.832,3931.99,27826491863068.01,20498106250258.0,8183636189599.088,12.4473,0.3391,26.0389,15.2002,10.3894
2272,2015-09-07,3250.485,3797.24,26621103641928.508,19673865395141.0,7904840681561.387,11.9093,0.3291,26.0389,15.2021,10.3894
2271,2015-09-08,3334.023,3894.83,27183467151060.902,20083624020450.0,8110420695167.056,12.1608,0.3348,26.0389,15.2021,10.3894
2270,2015-09-09,3399.305,3971.99,27672718427367.09,20457812579059.0,8270651028217.363,12.3779,0.3394,26.0389,15.2021,10.3894
2269,2015-09-10,3357.561,3923.21,27342542266211.4,20255009114126.0,8167280484533.55,12.2302,0.3361,26.0389,15.2021,10.3894
2268,2015-09-11,3347.188,3911.09,27205540647476.8,20157877140110.0,8140981119709.25,12.1689,0.3351,26.0389,15.2012,10.3894
2267,2015-09-14,3281.132,3833.91,26786094148903.0,19846794076639.0,7976886238361.651,11.9813,0.3303,26.0389,15.2021,10.3894
2266,2015-09-15,3152.232,3683.29,25996339545243.098,19242426939667.0,7664592815960.786,11.6278,0.3163,26.0389,15.2021,10.3894
2265,2015-09-16,3309.248,3866.91,27066109548925.496,20062671816506.0,8048184037805.63,12.1063,0.3328,26.0389,15.2021,10.3894
2264,2015-09-17,3236.999,3782.48,26531482987196.7,19657913442438.0,7871530524794.626,11.8671,0.3283,26.0389,15.2021,10.3894
